,airport__name,aircraft__make_model,effect__amount_of_damage,flight_date,aircraft__airline_operator,origin_state,when__phase_of_flight,wildlife__size,wildlife__species,when__time_of_day,cost__other,cost__repair,cost__total_$,speed_ias_in_knots
0,BARKSDALE AIR FORCE BASE ARPT,T-38A,None,1/8/90 0:00,MILITARY,Louisiana,Climb,Large,Turkey vulture,Day,0,0,0,300.0
1,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1/9/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,200.0
2,BARKSDALE AIR FORCE BASE ARPT,B-52,None,1/11/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,130.0
3,NEW ORLEANS INTL,B-737-300,Substantial,1/11/90 0:00,SOUTHWEST AIRLINES,Louisiana,Take-off run,Small,Rock pigeon,Day,0,0,0,140.0
4,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,1/12/90 0:00,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,160.0
5,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,2/2/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,180.0
6,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,2/6/90 0:00,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Dusk,0,0,0,140.0
7,WASHINGTON DULLES INTL ARPT,B-727,None,2/22/90 0:00,FEDEX EXPRESS,DC,Approach,Large,Unknown bird - large,Night,0,0,0,190.0
8,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,3/1/90 0:00,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,180.0
9,BARKSDALE AIR FORCE BASE ARPT,B-52,None,3/2/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Dusk,0,0,0,130.0
10,WASHINGTON DULLES INTL ARPT,BA-146,Medium,3/3/90 0:00,AIR WISCONSIN AIRLINES,DC,Climb,Large,Unknown bird - large,Day,0,0,0,180.0
11,BARKSDALE AIR FORCE BASE ARPT,B-52,None,3/8/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,150.0
12,RONALD REAGAN WASHINGTON NATL,C-141B,None,3/9/90 0:00,MILITARY,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,200.0
13,CHARLESTON AFB/INTL ARPT,C-141B,None,3/9/90 0:00,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Night,0,0,0,190.0
14,BARKSDALE AIR FORCE BASE ARPT,B-52,None,3/9/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,150.0
15,BARKSDALE AIR FORCE BASE ARPT,A-10A,None,3/13/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,4175,4175,250.0
16,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,3/19/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dusk,0,0,0,150.0
17,LAMBERT-ST LOUIS INTL,SA227 AC METRO III,Minor,3/22/90 0:00,TRANS STATES AIRLINES,Missouri,Climb,Small,European starling,Day,0,0,0,160.0
18,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/4/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,135.0
19,LAGUARDIA NY,B-737-400,Substantial,4/7/90 0:00,US AIRWAYS*,New York,Take-off run,Large,Canada goose,Day,0,0,0,
20,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/7/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Dusk,0,0,0,120.0
21,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/9/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,210.0
22,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/15/90 0:00,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,180.0
23,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/16/90 0:00,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Dawn,0,0,0,150.0
24,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/18/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,140.0
25,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/19/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,180.0
26,BARKSDALE AIR FORCE BASE ARPT,KC-135,None,4/19/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,140.0
27,NEW ORLEANS INTL,B-727,None,4/19/90 0:00,AMERICAN AIRLINES,Louisiana,Approach,Small,Unknown bird - small,Day,0,0,0,235.0
28,CHARLOTTE/DOUGLAS INTL ARPT,BE-58  BARON,None,4/20/90 0:00,UNKNOWN,North Carolina,Approach,Medium,Unknown bird - medium,Day,0,0,0,105.0
29,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/23/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dawn,0,0,0,190.0
30,CHARLESTON AFB/INTL ARPT,C-141B,None,4/23/90 0:00,MILITARY,South Carolina,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,160.0
31,CHARLESTON AFB/INTL ARPT,C-141B,None,4/24/90 0:00,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,200.0
32,BARKSDALE AIR FORCE BASE ARPT,B-52,None,4/25/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dusk,0,0,0,140.0
33,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,4/25/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,170.0
34,BARKSDALE AIR FORCE BASE ARPT,KC-135,None,4/26/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,180.0
35,LOS ANGELES INTL,B-737-300,None,4/27/90 0:00,US AIRWAYS*,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,230.0
36,CHICAGO O'HARE INTL ARPT,B-727,None,4/27/90 0:00,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,
37,PORTLAND INTL (OR),B-727,None,4/28/90 0:00,AMERICAN AIRLINES,Oregon,Approach,Medium,Unknown bird - medium,Night,0,0,0,127.0
38,WASHINGTON DULLES INTL ARPT,B-727,Medium,4/29/90 0:00,AMERICAN AIRLINES,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,250.0
39,FORT LAUDERDALE/HOLLYWOOD INTL,B-737-400,Substantial,4/30/90 0:00,US AIRWAYS*,Florida,Take-off run,Small,Unknown bird - small,Day,0,0,0,140.0
40,CHICAGO O'HARE INTL ARPT,B-727,None,5/1/90 0:00,UNITED AIRLINES,Illinois,Climb,Large,White-tailed deer,Night,0,0,0,120.0
41,HOUSTON-HOBBY,B-737-500,None,5/1/90 0:00,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,124.0
42,CHICAGO O'HARE INTL ARPT,B-767-200,None,5/2/90 0:00,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,130.0
43,SAN ANTONIO INTL,B-737-200,None,5/3/90 0:00,SOUTHWEST AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,320.0
44,SACRAMENTO INTL,MD-80,None,5/5/90 0:00,AMERICAN AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,260.0
45,WILL ROGERS WORLD ARPT,B-727-200,None,5/5/90 0:00,AMERICAN AIRLINES,Oklahoma,Approach,Small,Unknown bird - small,Day,0,0,0,150.0
46,ATLANTA INTL,B-767,None,5/5/90 0:00,DELTA AIR LINES,Georgia,Approach,Small,Unknown bird - small,Night,0,0,0,180.0
47,INDIANAPOLIS INTL,BE-90  KING,Minor,5/7/90 0:00,BUSINESS,Indiana,Descent,Medium,Unknown bird - medium,Day,0,0,0,160.0
48,DALLAS/FORT WORTH INTL ARPT,MD-80,None,5/7/90 0:00,AMERICAN AIRLINES,Texas,Descent,Medium,Unknown bird - medium,Day,0,0,0,240.0
49,KANSAS CITY INTL,E-4B,None,5/8/90 0:00,MILITARY,Missouri,Approach,Medium,Unknown bird - medium,Night,0,0,0,180.0
50,MINETA SAN JOSE INTL,MD-80,None,5/8/90 0:00,AMERICAN AIRLINES,California,Take-off run,Small,American robin,Day,0,0,0,135.0
51,METRO OAKLAND INTL,MD-82,None,5/10/90 0:00,AMERICAN AIRLINES,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,135.0
52,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,5/10/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,220.0
53,CHICAGO O'HARE INTL ARPT,MD-82,None,5/11/90 0:00,AMERICAN AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Night,0,0,0,250.0
54,NASHVILLE INTL,B-727,None,5/13/90 0:00,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
55,DALLAS/FORT WORTH INTL ARPT,B-727-200,None,5/13/90 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,160.0
56,NASHVILLE INTL,MD-80,None,5/13/90 0:00,AMERICAN AIRLINES,Tennessee,Climb,Small,European starling,Day,0,0,0,160.0
57,MINNEAPOLIS-ST PAUL INTL,DC-9,None,5/13/90 0:00,AMERICAN AIRLINES,Minnesota,Landing Roll,Small,American robin,Day,0,0,0,100.0
58,PORTLAND INTL (OR),MD-80,None,5/14/90 0:00,AMERICAN AIRLINES,Oregon,Descent,Medium,Unknown bird - medium,Night,0,0,0,200.0
59,LAMBERT-ST LOUIS INTL,MD-80,None,5/14/90 0:00,AMERICAN AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
60,CHICAGO O'HARE INTL ARPT,KC-135E,None,5/15/90 0:00,MILITARY,Illinois,Take-off run,Large,Coyote,Day,0,0,0,150.0
61,CHICAGO O'HARE INTL ARPT,C-130,None,5/15/90 0:00,MILITARY,Illinois,Climb,Medium,Unknown bird - medium,Day,0,0,0,120.0
62,DALLAS/FORT WORTH INTL ARPT,B-727-200,None,5/15/90 0:00,AMERICAN AIRLINES,Texas,Landing Roll,Medium,American crow,Day,0,0,0,135.0
63,SALT LAKE CITY INTL,KC-135E,None,5/15/90 0:00,MILITARY,Utah,Landing Roll,Small,Common nighthawk,Day,0,0,0,150.0
64,HONOLULU INTL ARPT,B-737,None,5/16/90 0:00,ALOHA AIRLINES,Hawaii,Landing Roll,Large,Unknown bird - large,Day,0,0,0,70.0
65,AUSTIN-BERGSTROM INTL,B-737-200,None,5/16/90 0:00,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
66,DALLAS/FORT WORTH INTL ARPT,B-727,None,5/18/90 0:00,AMERICAN AIRLINES,Texas,Approach,Small,American robin,Night,0,0,0,122.0
67,LAMBERT-ST LOUIS INTL,MD-80,None,5/19/90 0:00,AMERICAN AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
68,RONALD REAGAN WASHINGTON NATL,B-757-200,None,5/20/90 0:00,AMERICAN AIRLINES,DC,Approach,Small,Unknown bird - small,Night,0,0,0,120.0
69,SACRAMENTO INTL,B-737-300,None,5/22/90 0:00,UNITED AIRLINES,California,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
70,CHICAGO O'HARE INTL ARPT,B-727-200,None,5/22/90 0:00,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
71,SAN FRANCISCO INTL ARPT,B-767,None,5/23/90 0:00,DELTA AIR LINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,150.0
72,CHARLESTON AFB/INTL ARPT,C-141B,None,5/24/90 0:00,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,250.0
73,HOUSTON-HOBBY,B-737-300,None,5/24/90 0:00,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,250.0
74,LAMBERT-ST LOUIS INTL,L-1011,None,5/26/90 0:00,TRANS WORLD AIRLINES,Missouri,Descent,Medium,Unknown bird - medium,Day,0,0,0,160.0
75,HOUSTON-HOBBY,B-737,None,5/26/90 0:00,SOUTHWEST AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
76,CLEVELAND-HOPKINS INTL ARPT,EMB-120,None,5/26/90 0:00,EXPRESSJET (CONTINENTAL EXPRS),Ohio,Climb,Medium,Unknown bird - medium,Night,0,0,0,180.0
77,NASHVILLE INTL,B-727-200,None,5/26/90 0:00,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,170.0
78,SACRAMENTO INTL,B-737-300,None,5/27/90 0:00,UNITED AIRLINES,California,Approach,Medium,Mallard,Day,0,0,0,140.0
79,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,DC-9-30,None,5/27/90 0:00,US AIRWAYS*,Kentucky,Climb,Medium,Unknown bird - medium,Night,0,0,0,180.0
80,DALLAS/FORT WORTH INTL ARPT,MD-80,None,5/27/90 0:00,AMERICAN AIRLINES,Texas,Approach,Small,American robin,Day,0,0,0,170.0
81,LOUISVILLE INTL ARPT,DC-9-10,None,5/29/90 0:00,TRANS WORLD AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,130.0
82,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,5/29/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,130.0
83,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,5/29/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,135.0
84,CHICAGO O'HARE INTL ARPT,B-727-200,None,5/29/90 0:00,AMERICAN AIRLINES,Illinois,Climb,Small,European starling,Day,0,0,0,160.0
85,NEW ORLEANS INTL,B-737-200,None,5/30/90 0:00,SOUTHWEST AIRLINES,Louisiana,Approach,Small,Unknown bird - small,Day,0,0,0,130.0
86,LAMBERT-ST LOUIS INTL,GULFAERO IV,None,5/30/90 0:00,BUSINESS,Missouri,Landing Roll,Small,European starling,Day,0,0,0,140.0
87,LAMBERT-ST LOUIS INTL,B-737-300,None,5/31/90 0:00,SOUTHWEST AIRLINES,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,135.0
88,LOUISVILLE INTL ARPT,DC-8,None,5/31/90 0:00,UPS AIRLINES,Kentucky,Take-off run,Small,Unknown bird - small,Day,0,0,0,120.0
89,BARKSDALE AIR FORCE BASE ARPT,B-52,None,6/1/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,146.0
90,DALLAS/FORT WORTH INTL ARPT,DC-10,None,6/1/90 0:00,AMERICAN AIRLINES,Texas,Landing Roll,Small,European starling,Day,0,0,0,120.0
91,DALLAS/FORT WORTH INTL ARPT,MD-80,None,6/4/90 0:00,AMERICAN AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,210.0
92,WILL ROGERS WORLD ARPT,MD-80,None,6/5/90 0:00,AMERICAN AIRLINES,Oklahoma,Climb,Small,Rock pigeon,Day,0,0,0,180.0
93,LAMBERT-ST LOUIS INTL,B-737-200,None,6/6/90 0:00,SOUTHWEST AIRLINES,Missouri,Approach,Small,Unknown bird - small,Night,0,0,0,210.0
94,GREATER PITTSBURGH,A-7,None,6/7/90 0:00,MILITARY,Pennsylvania,Landing Roll,Medium,Unknown bird or bat,Day,0,0,0,120.0
95,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,6/7/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,200.0
96,CHICAGO O'HARE INTL ARPT,MD-80,None,6/7/90 0:00,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,210.0
97,METRO OAKLAND INTL,B-737-200,None,6/8/90 0:00,SOUTHWEST AIRLINES,California,Approach,Small,Unknown bird - small,Day,0,0,0,135.0
98,NASHVILLE INTL,B-727-200,None,6/9/90 0:00,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,136.0
99,BALTIMORE WASH INTL,BA-31 JETSTR,None,6/9/90 0:00,PSA AIRLINES,Maryland,Take-off run,Small,Unknown bird - small,Day,0,0,0,130.0
100,GREATER PITTSBURGH,B-727,None,6/11/90 0:00,UNITED AIRLINES,Pennsylvania,Landing Roll,Small,Unknown bird - small,Day,0,0,0,
101,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,6/12/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,150.0
102,WILL ROGERS WORLD ARPT,B-737-300,None,6/12/90 0:00,SOUTHWEST AIRLINES,Oklahoma,Approach,Small,Mourning dove,Day,0,0,0,135.0
103,SAN ANTONIO INTL,DC-10-10,None,6/14/90 0:00,AMERICAN AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,250.0
104,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,DC-9-30,None,6/14/90 0:00,US AIRWAYS*,Kentucky,Landing Roll,Small,American robin,Day,0,0,0,120.0
105,NASHVILLE INTL,B-727-100,None,6/14/90 0:00,AMERICAN AIRLINES,Tennessee,Landing Roll,Small,American robin,Dusk,0,0,0,85.0
106,WILL ROGERS WORLD ARPT,B-737-200,Medium,6/17/90 0:00,SOUTHWEST AIRLINES,Oklahoma,Climb,Medium,Unknown bird - medium,Night,0,0,0,180.0
107,LOGAN INTL,B-757-200,None,6/18/90 0:00,AMERICA WEST AIRLINES,Massachusetts,Approach,Medium,Herring gull,Dawn,48704,0,48704,130.0
108,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,6/19/90 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Night,0,0,0,130.0
109,GREATER PITTSBURGH,MD-80,None,6/19/90 0:00,AMERICAN AIRLINES,Pennsylvania,Approach,Small,Unknown bird - small,Day,0,0,0,130.0
110,SAN FRANCISCO INTL ARPT,DC-8-70,None,6/20/90 0:00,UNITED AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,140.0
111,ORLANDO INTL,MD-80,None,6/21/90 0:00,AMERICAN AIRLINES,Florida,Approach,Medium,Unknown bird - medium,Day,0,0,0,140.0
112,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,6/22/90 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,150.0
113,HOUSTON-HOBBY,B-737-300,None,6/23/90 0:00,SOUTHWEST AIRLINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,250.0
114,CLEVELAND-HOPKINS INTL ARPT,B-737,None,6/23/90 0:00,CONTINENTAL AIRLINES,Ohio,Landing Roll,Medium,American crow,Day,0,0,0,110.0
115,CLEVELAND-HOPKINS INTL ARPT,BA-31 JETSTR,None,6/23/90 0:00,PSA AIRLINES,Ohio,Landing Roll,Medium,American crow,Day,0,0,0,100.0
116,MINETA SAN JOSE INTL,MD-80,None,6/23/90 0:00,AMERICAN AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Dusk,0,0,0,110.0
117,PORT COLUMBUS INTL,B-727,None,6/23/90 0:00,UNKNOWN,Ohio,Climb,Small,Unknown bird - small,Day,0,0,0,
118,BARKSDALE AIR FORCE BASE ARPT,KC-135,None,6/26/90 0:00,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Night,0,0,0,160.0
119,EPPLEY AIRFIELD,MD-87,None,6/26/90 0:00,UPS AIRLINES,Nebraska,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
120,ATLANTIC CITY INTL,CV-580,None,6/27/90 0:00,GOVERNMENT,New Jersey,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,40.0
121,CHICAGO O'HARE INTL ARPT,B-727-200,None,6/28/90 0:00,AMERICAN AIRLINES,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,130.0
122,DALLAS/FORT WORTH INTL ARPT,B-727-100,None,6/28/90 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,250.0
123,CHICAGO O'HARE INTL ARPT,MD-80,None,6/30/90 0:00,AMERICAN AIRLINES,Illinois,Landing Roll,Small,Unknown bird - small,Day,0,0,0,145.0
124,DALLAS/FORT WORTH INTL ARPT,MD-80,None,7/1/90 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
125,HONOLULU INTL ARPT,DC-10-10,None,7/3/90 0:00,AMERICAN AIRLINES,Hawaii,Approach,Medium,Unknown bird - medium,Night,0,0,0,137.0
126,GEORGE BUSH INTERCONTINENTAL,B-727-200,None,7/3/90 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
127,CHARLOTTE/DOUGLAS INTL ARPT,MD-80,None,7/5/90 0:00,US AIRWAYS*,North Carolina,Approach,Small,Unknown bird - small,Day,0,0,0,125.0
128,CHARLESTON AFB/INTL ARPT,MD-80,None,7/6/90 0:00,AMERICAN AIRLINES,South Carolina,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,100.0
129,SACRAMENTO INTL,B-737-200,None,7/6/90 0:00,UNITED AIRLINES,California,Approach,Small,Unknown bird - small,Day,0,0,0,125.0
130,LOUISVILLE INTL ARPT,B-737,None,7/7/90 0:00,UNITED AIRLINES,Kentucky,Take-off run,Small,Unknown bird - small,Day,0,0,0,140.0
131,MINETA SAN JOSE INTL,B-767,Minor,7/8/90 0:00,AMERICAN AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,140.0
132,SALT LAKE CITY INTL,MD-80,None,7/8/90 0:00,AMERICAN AIRLINES,Utah,Approach,Medium,Unknown bird - medium,Day,0,0,0,
133,CHARLOTTE/DOUGLAS INTL ARPT,FOKKER F100,None,7/8/90 0:00,US AIRWAYS*,North Carolina,Approach,Small,Unknown bird - small,Day,0,0,0,134.0
134,CHICAGO O'HARE INTL ARPT,B-727,None,7/8/90 0:00,AMERICAN AIRLINES,Illinois,Climb,Small,Unknown bird - small,Day,0,0,0,210.0
135,SEATTLE-TACOMA INTL,DC-10,None,7/9/90 0:00,NORTHWEST AIRLINES,Washington,Climb,Medium,Unknown bird - medium,Day,0,0,0,200.0
136,ATLANTA INTL,B-737,None,7/10/90 0:00,UNITED AIRLINES,Georgia,Approach,Medium,Unknown bird - medium,Day,0,0,0,
137,MEMPHIS INTL,MD-80,None,7/10/90 0:00,AMERICAN AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Night,0,0,0,130.0
138,SALT LAKE CITY INTL,B-727,Minor,7/11/90 0:00,DELTA AIR LINES,Utah,Descent,Large,Unknown bird - large,Day,0,0,0,350.0
139,ATLANTA INTL,B-767,None,7/11/90 0:00,DELTA AIR LINES,Georgia,Landing Roll,Small,European starling,Dawn,0,0,0,130.0
140,SAN FRANCISCO INTL ARPT,L-1011,None,7/11/90 0:00,TRANS WORLD AIRLINES,California,Approach,Small,Unknown bird - small,Day,0,0,0,
141,CLEVELAND-HOPKINS INTL ARPT,EMB-120,None,7/12/90 0:00,BUSINESS,Ohio,Approach,Small,American robin,Day,0,0,0,130.0
142,LIHUE ARPT,B-737-300,Substantial,7/13/90 0:00,ALOHA AIRLINES,Hawaii,Take-off run,Small,Short-eared owl,Dawn,0,0,0,85.0
143,LOS ANGELES INTL,MD-80,None,7/13/90 0:00,ALASKA AIRLINES,California,Landing Roll,Small,American kestrel,Day,0,0,0,125.0
144,GREATER PITTSBURGH,MD-80,None,7/15/90 0:00,AMERICAN AIRLINES,Pennsylvania,Approach,Medium,Unknown bird - medium,Night,0,0,0,160.0
145,NASHVILLE INTL,MD-80,None,7/15/90 0:00,AMERICAN AIRLINES,Tennessee,Landing Roll,Small,Unknown bird - small,Dusk,0,0,0,120.0
146,METRO OAKLAND INTL,BA-146-200,Minor,7/16/90 0:00,US AIRWAYS*,California,Climb,Large,Canada goose,Dusk,0,0,0,130.0
147,KANSAS CITY INTL,MD-80,None,7/16/90 0:00,AMERICAN AIRLINES,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
148,ATLANTIC CITY INTL,B-727,None,7/16/90 0:00,BUSINESS,New Jersey,Climb,Small,Laughing gull,Day,0,0,0,120.0
149,ATLANTIC CITY INTL,FOKKER F100,None,7/16/90 0:00,US AIRWAYS*,New Jersey,Climb,Small,Laughing gull,Day,0,0,0,120.0
150,DALLAS/FORT WORTH INTL ARPT,MD-82,None,7/17/90 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,130.0
151,ATLANTIC CITY INTL,B-727,None,7/17/90 0:00,BUSINESS,New Jersey,Take-off run,Small,Laughing gull,Day,0,0,0,
152,GREATER PITTSBURGH,MD-80,None,7/19/90 0:00,AMERICAN AIRLINES,Pennsylvania,Take-off run,Small,Unknown bird - small,Day,0,0,0,125.0
153,ATLANTA INTL,B-727,None,7/20/90 0:00,TRANS WORLD AIRLINES,Georgia,Climb,Medium,Unknown bird - medium,Day,0,0,0,190.0
154,NEWARK LIBERTY INTL ARPT,DC-10,None,7/21/90 0:00,FEDEX EXPRESS,New Jersey,Landing Roll,Large,Unknown bird - large,Day,0,0,0,
155,DALLAS/FORT WORTH INTL ARPT,MD-80,None,7/22/90 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
156,KANSAS CITY INTL,B-737-300,None,7/23/90 0:00,AMERICA WEST AIRLINES,Missouri,Landing Roll,Medium,Unknown bird - medium,Night,0,0,0,120.0
157,ATLANTIC CITY INTL,FOKKER F100,None,7/23/90 0:00,US AIRWAYS*,New Jersey,Take-off run,Medium,Unknown bird - medium,Night,0,0,0,
158,CLEVELAND-HOPKINS INTL ARPT,MD-80,Minor,7/23/90 0:00,AMERICAN AIRLINES,Ohio,Climb,Small,Unknown bird - small,Day,0,0,0,140.0
159,LAMBERT-ST LOUIS INTL,MD-82,Minor,7/24/90 0:00,AMERICAN AIRLINES,Missouri,Climb,Small,Unknown bird - small,Day,0,0,0,220.0
160,LOUISVILLE INTL ARPT,HAWKER-SDLY HS125,None,7/25/90 0:00,BUSINESS,Kentucky,Approach,Small,Unknown bird - small,Day,0,0,0,120.0
161,CHICAGO O'HARE INTL ARPT,B-757-200,None,7/26/90 0:00,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Day,0,0,0,135.0
162,GEORGE BUSH INTERCONTINENTAL,B-727-100,None,7/26/90 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,130.0
163,HOUSTON-HOBBY,B-737-300,None,7/28/90 0:00,SOUTHWEST AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,120.0
164,MINETA SAN JOSE INTL,PA-23-250,None,7/29/90 0:00,UNKNOWN,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,100.0
165,ATLANTIC CITY INTL,DC-9,None,7/29/90 0:00,BUSINESS,New Jersey,Climb,Small,Laughing gull,Day,0,0,0,
166,DALLAS/FORT WORTH INTL ARPT,MD-82,None,7/29/90 0:00,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,250.0
