,airport__name,aircraft__make_model,effect__amount_of_damage,flight_date,aircraft__airline_operator,origin_state,when__phase_of_flight,wildlife__size,wildlife__species,when__time_of_day,cost__other,cost__repair,cost__total_$,speed_ias_in_knots
1530,SALT LAKE CITY INTL,MD-80,None,9/26/92 0:00,AMERICAN AIRLINES,Utah,Take-off run,Small,Unknown bird - small,Day,0,0,0,135.0
1531,INDIANAPOLIS INTL,B-737-300,None,9/27/92 0:00,US AIRWAYS*,Indiana,Climb,Large,Unknown bird - large,Night,0,0,0,170.0
1532,CHICAGO O'HARE INTL ARPT,A-310,None,9/27/92 0:00,NORTHWEST AIRLINES,Illinois,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
1533,NASHVILLE INTL,MD-80,None,9/27/92 0:00,AMERICAN AIRLINES,Tennessee,Climb,Medium,Unknown bird - medium,Dusk,0,0,0,140.0
1534,AUSTIN-BERGSTROM INTL,MD-80,None,9/27/92 0:00,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,150.0
1535,CHICAGO O'HARE INTL ARPT,MD-82,None,9/28/92 0:00,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,125.0
1536,LAMBERT-ST LOUIS INTL,B-727,None,9/28/92 0:00,AMERICAN AIRLINES,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,135.0
1537,NASHVILLE INTL,SAAB-340,None,9/28/92 0:00,AMERICAN EAGLE AIRLINES,Tennessee,Approach,Small,Unknown bird - small,Day,0,0,0,120.0
1538,NEWARK LIBERTY INTL ARPT,MD-82,None,9/28/92 0:00,AMERICAN AIRLINES,New Jersey,Approach,Small,Unknown bird - small,Night,0,0,0,250.0
1539,CHICAGO O'HARE INTL ARPT,FOKKER F100,None,9/28/92 0:00,AMERICAN AIRLINES,Illinois,Climb,Small,Unknown bird - small,Night,0,0,0,200.0
1540,ATLANTA INTL,B-727,None,9/29/92 0:00,TRANS WORLD AIRLINES,Georgia,Climb,Large,Unknown bird - large,Night,0,0,0,200.0
1541,DALLAS/FORT WORTH INTL ARPT,B-727-100,None,9/29/92 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,200.0
1542,DALLAS/FORT WORTH INTL ARPT,B-727-100,None,9/29/92 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,250.0
1543,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,9/30/92 0:00,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Dawn,0,0,0,100.0
1544,MINNEAPOLIS-ST PAUL INTL,DC-9,None,10/1/92 0:00,NORTHWEST AIRLINES,Minnesota,Approach,Medium,Unknown bird - medium,Day,0,0,0,130.0
1545,ORLANDO INTL,B-737-400,None,10/1/92 0:00,US AIRWAYS*,Florida,Approach,Small,Unknown bird - small,Night,0,0,0,143.0
1546,RONALD REAGAN WASHINGTON NATL,MD-82,None,10/2/92 0:00,AMERICAN AIRLINES,DC,Approach,Medium,Unknown bird - medium,Day,0,0,0,130.0
1547,DALLAS/FORT WORTH INTL ARPT,B-727-100,None,10/2/92 0:00,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,175.0
1548,AUSTIN-BERGSTROM INTL,B-737-200,None,10/2/92 0:00,SOUTHWEST AIRLINES,Texas,Descent,Small,Unknown bird - small,Night,0,0,0,250.0
1549,PORTLAND INTL (OR),B-757-200,None,10/3/92 0:00,UPS AIRLINES,Oregon,Approach,Small,Unknown bird - small,Dawn,0,0,0,140.0
1550,DALLAS/FORT WORTH INTL ARPT,B-727-200,None,10/3/92 0:00,AMERICAN AIRLINES,Texas,Descent,Small,Unknown bird - small,Day,0,0,0,250.0
1551,CHICAGO O'HARE INTL ARPT,B-727,None,10/4/92 0:00,AMERICAN AIRLINES,Illinois,Approach,Medium,Unknown bird - medium,Night,0,0,0,170.0
1552,DALLAS/FORT WORTH INTL ARPT,B-727-200,None,10/4/92 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140.0
1553,SAN ANTONIO INTL,MD-82,None,10/4/92 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,140.0
1554,SALT LAKE CITY INTL,B-757-200,Substantial,10/5/92 0:00,UPS AIRLINES,Utah,Climb,Medium,Unknown bird - medium,Night,0,0,0,185.0
1555,BARKSDALE AIR FORCE BASE ARPT,KC-10A,None,10/5/92 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,200.0
